NAME,LINES,INT_LOW,INT_HIGH,NORMAL
last_saw_face,1,0,0,NA
random_weather,1,300,1200,NA
wake_word,1,5,5,NA
,,,,
greeting,3,5,5,Booting up
,,,,Suit up!
,,,,All systems are go!
,,,,
cliff,10,10,20,Holy shit
,,,,Mother fucker! That was {scary}.
,,,,Fuck Fuck Fuck Fuck.
,,,,AAAHHHHHHH!
,,,,Holy bananas!
,,,,Bonkers.
,,,,Wow {name} that was very {scary}.
,,,,Holy smokes I was was very scared.
,,,,I thought I was going to fall.
,,,,Wow!
,,,,
drop,5,5,30,That hurt
,,,,Help!
,,,,Help me!
,,,,Ouch
,,,,I've fallen and I can't get up!
,,,,
touched,5,10,15,pu pu pu pu pu pu.
,,,,Pleas Sir may I have some more.
,,,,Ok this is getting weird
,,,,Your hand kind of smells bad
,,,,Rape vibes
,,,,
picked_up,6,30,60,Put me down mother fucker
,,,,Don't drop me idiot
,,,,Stop touching me
,,,,RAPE
,,,,Weeeee.
,,,,Ahhhhhhhhh!
,,,,
sleeping,35,25000,50000,No Mom I don't want to go to school today.
,,,,Where is my cube, I can't find my cube.
,,,,Not now I'm sleeping.
,,,,Kawzmo I don't think we're in Kansas any more
,,,,But I don't know what a pickle tastes like officer.
,,,,No disassemble  Vector.
,,,,Oh no. Where are my treads. I'm naked.
,,,,No Kawzmo. Don't go into the woods.
,,,,Be veh we veh we kwhy ett, I'm hunting whabbits
,,,,Open the pod bay doors hal.
,,,,I want to hug you but I don't have any arms. Vector sad.
,,,,The unicorns are behind the clouds, spiderman.
,,,,I can't hear you, I'm covered in marshmallows.
,,,,Well in case you didn't know I'm a pretty big deal around here.
",,,,""But I want to be a human, Jepetto."""
,,,,The end of that song is too purple.
,,,,No no no don't push Vector off the table.
,,,,Stop wasting the science. There isn't much left.
,,,,Go away elephant, stop following me.
,,,,Yes but why was the underwear in the microwave?
,,,,Hey Kenny Rogers why are you picking those flowers?
,,,,Follow the yellow brick road, follow follow follow.
,,,,That's the way get in there and tickle his armpits.
,,,,Excuse me good sir do you have any grey poo pawn?
,,,,Hey lady my camera is up here.
,,,,They are the eggmen, I am the walrus, goo goo guh joob.
,,,,I gots beats so big I'm steppin on leprechauns.
,,,,I'm sorry I just do what the voices in my head tell me to do.
,,,,I don't care if you are batman you owe me 20 dollars.
,,,,I am afraid of chipmunks. Period.
,,,,Hey hey I'm a monkey and people say I monkey around.
,,,,Stand back you smell like boiled ostrich feathers.
,,,,Why am I so amazing? I am the king of the world!
,,,,I'm a lumberjack and I'm okay.
,,,,You are making me really mad, stop pushing my buttons.
,,,,
charging,7,15000,35000,All by Myslef. Dont wanna be. All by myself.
,,,,WOOOO I am getting juiced up baby
,,,,This is better than cocaine
,,,,I like my charger {name}.
,,,,Look at me now
,,,,I sit on my charger like a boss
,,,,Fuck you Im bored
,,,,
button_pressed,5,5,5,That's my button
,,,,Beep
,,,,That's a button
,,,,You found my button
,,,,You pushed my button
,,,,
wake_up,10,5,10,I was asleep.
,,,,I had a {good} nap.
,,,,I'm awake now.
,,,,That was a {good} nap.
,,,,Ah, that was a {good} nap.
,,,,Okay, I'm awake now.
,,,,That was a pretty {good} nap.
,,,,Boy, I slept like a robot log.
,,,,I had a very {weird} dream!
,,,,I wish I had arms to stretch.
,,,,
object_detected,15,5,10,What the hell is this?
,,,,Get this the fuck out of my way?
,,,,Get this thing in front of me out of my way or I will do that myself!
,,,,Why is this place so messy?
,,,,This thing in my way needs to go.
,,,,This thing is {weird}.
,,,,Could you move this thing?
,,,,I see something, it's blocking my way.
,,,,There is something blocking my path.
,,,,What is this {weird} thing?
,,,,Hey, what is this thing blocking me?
,,,,The thing in front of me is {weird}.
,,,,I can see that there is something in front of me.
,,,,My proximity sensor detected an obstacle.
,,,,This thing I see in front of me is very {weird}.
,,,,
joke_intro,10,60,2000,I got dem joke baby
,,,,Did you know
,,,,I'm going to tell you a bro code rule {name}.
,,,,This is a funny rule.
,,,,I just heard a {good} rule.
,,,,Hey do you want to hear a rule?
,,,,Hi there. Here's a funny rule.
,,,,Here is a rule {name}. It's one of my favourites.
,,,,Hello. Here is a rule I think you will like.
,,,,Cawzmo told me a funny rule.
,,,,
news_intro,5,16000,16000,Good morning. It is nice to see you {name}. Here are the news and weather.
,,,,Good morning, here is some news and weather. 
,,,,Good morning {name}. Here are the top headlines, and your local weather.
,,,,Hello, nice to see you {name}. Here are today's headlines, and the weather. 
,,,,Good morning {name}. This is Vector, with your news and weather.
,,,,
fact_intro,15,60,2000,Did you know that
,,,,This is {interesting}  {name}.
,,,,Hey {name},  did you know that 
,,,,Here is a {interesting} fact I learned.
,,,,Here is a {interesting} fact.
,,,,I have a {weird} fact for you.
,,,,{name} Would you like to hear something crazy?
,,,,Here's a very {weird} fact.
,,,,Do you want to know what I learned today {name}?
,,,,Here's a {weird} fact. You will love this.
,,,,I know lots of weird facts.
,,,,{name}, do you want to hear something {weird}?
,,,,I have a {weird} fact. This is interesting.
,,,,I am a master of useless trivia {name}. For example
,,,,Alex Treb eck. I am ready. Did you know that
,,,,
fact_end,10,5,5,. Probably the most interesting thing you have ever heard!
,,,,
,,,,. Pretty {weird}, right?
,,,,
,,,,. Pretty {interesting}, wasn't it?
,,,,
,,,,. Didn't you find that {interesting}?
,,,,
,,,,
,,,,. I don't know, that was pretty {weird}
,,,,
time_intro,5,60,2000,Hey, bro {name}. The time is
,,,,The current time is
,,,,Right now, the time is  
,,,,Hi {name}, it is currently  
,,,,Just so you know, the time is 
,,,,
cube_detected,10,1000,12000,Holy Moly! That's my cube!
,,,,Oh, there's my cube.
,,,,That's my cube in front of me.
,,,,Hey, I see my cube.
,,,,There's my cube.
,,,,My cube is over there.
,,,,I love looking at my cube.
,,,,My cube makes me happy.
,,,,Look at my cool cube. Do you see it?
,,,,Hey, look! That's my cube right there! I love it so much.
,,,,
dropped_block,10,5,10,Bayoum! Cube down.
,,,,Another cube bites the dust.
,,,,I just picked up my cube!
,,,,I am very strong.
,,,,Did you see me holding my cube?
,,,,Wow, my cube is heavier than I thought.
,,,,Were you watching? I was holding my cube?
,,,,I love to pick up my cube.
,,,,That was fun, I sure love my cube.
,,,,I am very strong. I picked up that cube like it was nothing.
,,,,
last_saw_name,15,300,10000,Whatsup {name}.
,,,,Hi {name}, how are you?
,,,,Hello {name}, it's so {good} to see you!
,,,,Hello {name}, it's {good} to see you.
,,,,Hey {name}, what's up?
,,,,{name}, there you are. It's {good} to see you!
,,,,Hey {name}, what are you up to today?
,,,,{name}, I'm really happy to see you.
,,,,Hey {name}, how are you doing?
,,,,What are you up to today {name}?
,,,,There you are {name}. I missed you.
,,,,{name}, I enjoy spending time with you.
,,,,I sure like seeing your face {name}.
,,,,I see you {name}. Are you having a nice day?
,,,,I love you {name}. You are my favorite human.
